date,state,lat_1,u_1,lat_2,u_2,interjet_min
2020-08-18,double,46.75,29.885983207009055,70.5,21.973041361028496,-10.239131580699574
2020-08-19,single,43.75,30.884166544133965,,,
2020-08-20,double,42.75,27.037070881236684,69.25,15.63490850275213,0.398147466507825
2020-08-21,double,49.0,26.53307463906028,71.75,15.298932942477139,0.5690407942641865
2020-08-22,single,49.0,30.14424601468173,,,
2020-08-23,single,48.75,31.78565094687722,,,
2020-08-24,single,48.25,34.89955589988015,,,
2020-08-25,single,49.0,37.61691804365678,,,
2020-08-26,single,50.25,34.29762372103605,,,
2020-08-27,double,48.75,33.817902998490766,72.75,15.724712285128506,6.579129912636497
2020-08-28,double,46.5,30.724262237548828,69.5,23.448205774480645,4.569632313468239
2020-08-29,double,44.75,24.412395650690254,70.75,25.65279267051003,5.2176173383539375
2020-08-30,double,46.5,21.168688340620562,72.25,18.681154771284625,9.05116029219194
2020-08-31,double,51.75,25.811527598987926,72.25,23.752579602328215,5.080901536074552
2020-09-01,double,44.5,21.52037308432839,70.5,16.194040298461914,8.510300289500844
2020-09-02,single,46.5,22.35381906682795,,,
2020-09-03,double,55.0,25.504797501997515,73.25,15.228620529174805,7.120089834386652
2020-09-04,single,55.25,33.37802436135032,,,
2020-09-05,single,57.75,31.310931986028496,,,
2020-09-06,single,58.0,28.166339007290926,,,
2020-09-07,single,59.0,36.404837521639735,,,
2020-09-08,single,60.0,43.18252390081232,,,
2020-09-09,single,55.75,40.86096850308505,,,
2020-09-10,single,55.25,43.42859614979137,,,
2020-09-11,double,31.0,17.08814014088024,54.25,42.77003374966708,1.435977123000405
2020-09-12,double,32.25,15.467315240339799,56.25,43.038325569846414,2.294691952792081
2020-09-13,double,30.75,15.821906436573375,59.0,40.73260844837535,6.507760698145086
2020-09-14,double,30.75,16.363947781649504,63.0,38.8524416143244,3.4321971156380395
2020-09-15,single,66.0,31.54978422685103,,,
2020-09-16,single,56.25,24.984814730557527,,,
2020-09-17,double,35.75,19.284714091907848,67.25,28.92957149852406,8.499765136025168
2020-09-18,double,35.75,20.578581029718574,66.25,32.82479407570579,5.18635858188976
2020-09-19,single,60.25,32.50405484979803,,,
2020-09-20,single,65.25,39.61208135431463,,,
2020-09-21,single,63.75,41.63963144475763,,,
2020-09-22,single,63.75,40.59623302112926,,,
2020-09-23,single,55.0,28.245282606645063,,,
2020-09-24,single,47.25,25.708487250588156,,,
2020-09-25,double,50.25,25.38680111278187,71.5,23.643216566606,11.387595783580434
2020-09-26,single,39.75,21.608864524147727,,,
2020-09-27,single,38.5,21.328305504538797,,,
2020-09-28,double,37.5,21.717974055897106,51.75,21.340626803311434,13.394240986217152
2020-09-29,single,54.25,26.194332296198066,,,
2020-09-30,double,29.0,15.506999102505771,58.75,26.137664101340555,10.332453987815164
